Historical Prices - TA-125
From 31/05/2012 To 29/05/2017, Frequency: Daily

Date,Index Base Price,Index Opening Price,Closing Index Value,High,Low,Overall Market Cap(NIS thousands) * 
29/05/2017,1296.77,1297.63,1295.82,1300.13,1295.58,715295270
28/05/2017,1301.73,1300.34,1296.77,1302.83,1296.15,714934140
25/05/2017,1299.05,1301.06,1301.73,1303.96,1298.10,718621899
24/05/2017,1299.65,1300.63,1299.05,1301.47,1296.62,718602807
23/05/2017,1297.33,1296.46,1299.65,1300.32,1295.18,719974987
22/05/2017,1292.17,1294.24,1297.33,1299.27,1291.61,720554064
21/05/2017,1282.08,1288.14,1292.17,1294.98,1287.20,717938623
18/05/2017,1291.02,1291.37,1282.08,1291.37,1275.80,713616066
17/05/2017,1305.80,1301.73,1291.02,1301.73,1289.79,722233099
16/05/2017,1303.99,1303.85,1305.80,1308.30,1303.02,732900290
15/05/2017,1303.50,1306.68,1303.99,1306.84,1299.24,730558517
14/05/2017,1295.37,1298.87,1303.50,1305.12,1298.87,730967921
11/05/2017,1292.19,1297.22,1295.37,1297.89,1294.01,722967188
10/05/2017,1297.30,1296.08,1292.19,1298.74,1290.60,720020288
09/05/2017,1289.80,1292.24,1297.30,1297.30,1291.91,723964390
08/05/2017,1288.78,1287.80,1289.80,1290.89,1285.20,721109217
07/05/2017,1275.65,1279.34,1288.78,1289.14,1278.41,720394599
04/05/2017,1271.76,1274.29,1275.65,1279.18,1272.30,714180780
03/05/2017,1265.22,1267.35,1271.76,1273.16,1266.72,712449337
30/04/2017,1271.40,1268.99,1265.22,1270.55,1263.63,711453806
27/04/2017,1274.66,1274.69,1271.40,1274.81,1269.47,713676212
26/04/2017,1267.42,1268.93,1274.66,1274.66,1265.81,714855306
25/04/2017,1265.44,1267.12,1267.42,1268.80,1262.94,707760016
24/04/2017,1251.16,1261.84,1265.44,1267.63,1261.84,710637400
23/04/2017,1258.82,1255.71,1251.16,1256.89,1248.33,701565445
20/04/2017,1255.42,1255.75,1258.82,1260.45,1252.31,704999828
19/04/2017,1245.64,1244.96,1255.42,1255.42,1243.76,704761975
18/04/2017,1244.78,1249.46,1245.64,1252.86,1241.85,703276544
13/04/2017,1258.56,1258.16,1244.78,1259.18,1240.51,703159033
12/04/2017,1258.90,1257.76,1258.56,1261.57,1257.16,710465917
09/04/2017,1262.25,1261.75,1258.90,1262.53,1256.90,713166517
06/04/2017,1268.18,1260.79,1262.25,1264.95,1258.11,713320490
05/04/2017,1253.97,1255.88,1268.18,1268.18,1253.31,716320119
04/04/2017,1252.13,1253.02,1253.97,1257.69,1250.04,709787239
03/04/2017,1253.01,1254.98,1252.13,1257.05,1251.04,707739737
02/04/2017,1251.54,1245.47,1253.01,1254.03,1245.47,707234425
30/03/2017,1252.73,1247.35,1251.54,1251.54,1246.73,710988823
29/03/2017,1254.22,1256.39,1252.73,1258.00,1250.69,712926392
28/03/2017,1247.14,1254.60,1254.22,1257.25,1250.54,714467318
27/03/2017,1256.50,1250.18,1247.14,1250.19,1243.36,709627394
26/03/2017,1266.08,1262.50,1256.50,1265.37,1255.47,715204935
23/03/2017,1264.16,1259.80,1266.08,1267.58,1259.80,722233752
22/03/2017,1263.38,1254.62,1264.16,1265.71,1253.79,720322539
21/03/2017,1271.12,1272.52,1263.38,1277.30,1262.69,720691961
20/03/2017,1265.39,1267.73,1271.12,1272.40,1264.65,725429256
19/03/2017,1272.48,1270.74,1265.39,1271.49,1263.88,722958806
16/03/2017,1279.83,1288.66,1272.48,1288.66,1269.61,727102833
15/03/2017,1279.30,1280.33,1279.83,1282.78,1277.65,732841408
14/03/2017,1282.56,1283.19,1279.30,1283.81,1276.41,730978224
13/03/2017,1281.42,1281.87,1282.56,1283.36,1279.52,732150657
09/03/2017,1280.70,1277.12,1281.42,1282.68,1276.61,731937563
08/03/2017,1273.32,1274.41,1280.70,1281.75,1274.06,731376743
07/03/2017,1273.18,1273.92,1273.32,1277.56,1269.67,725874766
06/03/2017,1286.14,1284.37,1273.18,1284.99,1272.25,730306168
05/03/2017,1287.66,1285.34,1286.14,1287.13,1284.14,740561015
02/03/2017,1284.33,1286.83,1287.66,1287.66,1281.69,740538809
01/03/2017,1265.61,1268.57,1284.33,1284.33,1267.93,737370646
28/02/2017,1277.97,1273.07,1265.61,1273.43,1265.61,725456409
27/02/2017,1285.78,1285.24,1277.97,1287.05,1273.30,731852862
26/02/2017,1286.42,1286.70,1285.78,1287.20,1283.14,736072422
23/02/2017,1289.25,1286.99,1286.42,1288.99,1283.65,737816758
22/02/2017,1293.32,1293.01,1289.25,1294.39,1283.96,740232411
21/02/2017,1294.94,1295.53,1293.32,1297.30,1292.87,744476211
20/02/2017,1295.21,1296.97,1294.94,1297.41,1293.01,745966711
19/02/2017,1287.42,1290.71,1295.21,1295.65,1290.71,745219625
16/02/2017,1282.57,1290.38,1287.42,1290.72,1284.34,738276635
15/02/2017,1275.90,1283.14,1282.57,1283.66,1276.22,736616323
14/02/2017,1274.55,1273.62,1275.90,1276.20,1272.86,726209134
13/02/2017,1265.72,1265.51,1274.55,1275.64,1264.03,723597448
12/02/2017,1253.69,1264.51,1265.72,1267.80,1263.29,714645706
09/02/2017,1244.87,1247.97,1253.69,1253.69,1244.45,711442643
08/02/2017,1252.77,1251.02,1244.87,1252.79,1243.90,678749226
07/02/2017,1248.85,1247.45,1252.77,1253.49,1246.46,685034073
06/02/2017,1247.50,1249.26,1248.85,1249.85,1243.25,685912218
05/02/2017,1248.69,1252.97,1247.50,1254.20,1247.50,684504251
02/02/2017,1254.11,1250.70,1248.69,1252.21,1243.98,685314966
01/02/2017,1242.96,1250.50,1254.11,1256.72,1248.41,686496900
31/01/2017,1240.74,1236.43,1242.96,1243.29,1235.71,676924196
30/01/2017,1252.57,1252.50,1240.74,1252.50,1240.74,679255346
29/01/2017,1250.29,1254.96,1252.57,1255.21,1252.18,684201859
26/01/2017,1248.08,1251.47,1250.29,1253.70,1248.92,681068766
25/01/2017,1239.15,1243.96,1248.08,1249.29,1241.72,678024241
24/01/2017,1232.24,1234.32,1239.15,1240.19,1233.08,671124221
23/01/2017,1244.14,1238.45,1232.24,1239.75,1230.51,670535184
22/01/2017,1248.09,1246.38,1244.14,1247.89,1238.64,679126957
19/01/2017,1260.95,1262.19,1248.09,1263.61,1247.09,682199085
18/01/2017,1264.59,1266.47,1260.95,1266.76,1260.95,687403931
17/01/2017,1266.46,1265.04,1264.59,1269.63,1261.30,688899536
16/01/2017,1271.09,1268.80,1266.46,1269.19,1264.85,689992135
