Historical Prices - TA-35
From 31/05/2012 To 29/05/2017, Frequency: Daily

Date,Index Base Price,Index Opening Price,Closing Index Value,High,Low,Overall Market Cap(NIS thousands) * 
29/05/2017,1418.59,1419.75,1419.36,1423.31,1418.63,548119685
28/05/2017,1423.35,1419.69,1418.59,1423.75,1418.59,547099358
25/05/2017,1418.55,1421.81,1423.35,1425.25,1420.39,549920147
24/05/2017,1419.18,1421.32,1418.55,1421.93,1415.17,549506211
23/05/2017,1421.59,1418.52,1419.18,1421.41,1416.33,550911112
22/05/2017,1422.48,1424.08,1421.59,1424.27,1419.87,553632182
21/05/2017,1412.19,1417.83,1422.48,1423.43,1416.55,554065384
18/05/2017,1419.73,1421.98,1412.19,1421.98,1406.17,551352225
17/05/2017,1432.81,1426.14,1419.73,1427.05,1418.51,557561190
16/05/2017,1432.49,1432.07,1432.81,1436.27,1430.75,565008576
15/05/2017,1431.77,1435.92,1432.49,1436.27,1429.26,563493623
14/05/2017,1422.53,1427.28,1431.77,1434.36,1427.28,563644033
11/05/2017,1420.11,1427.32,1422.53,1427.51,1422.53,556399318
10/05/2017,1428.62,1426.90,1420.11,1430.10,1419.70,554102474
09/05/2017,1423.52,1425.37,1428.62,1431.40,1425.11,558190854
08/05/2017,1423.52,1420.90,1423.52,1426.66,1418.40,556946024
07/05/2017,1409.95,1415.02,1423.52,1424.38,1413.53,556722743
04/05/2017,1403.50,1408.04,1409.95,1414.08,1405.41,552559192
03/05/2017,1398.75,1401.05,1403.50,1406.63,1399.85,550959368
30/04/2017,1405.45,1401.72,1398.75,1404.21,1397.11,551737833
27/04/2017,1410.75,1406.12,1405.45,1408.23,1403.74,553315893
26/04/2017,1402.91,1404.00,1410.75,1410.75,1399.58,554695571
25/04/2017,1402.53,1404.81,1402.91,1407.11,1398.90,548819972
24/04/2017,1385.16,1399.23,1402.53,1405.96,1398.88,552660116
23/04/2017,1393.14,1389.56,1385.16,1391.33,1382.19,545167513
20/04/2017,1389.29,1388.24,1393.14,1394.91,1384.38,547327530
19/04/2017,1380.24,1378.15,1389.29,1389.82,1377.54,547404466
18/04/2017,1378.66,1384.88,1380.24,1388.07,1375.13,547270729
13/04/2017,1394.12,1392.24,1378.66,1394.26,1372.31,547209230
12/04/2017,1396.06,1392.67,1394.12,1397.93,1392.22,552831616
09/04/2017,1400.30,1399.26,1396.06,1400.70,1395.07,555795862
06/04/2017,1409.90,1399.84,1400.30,1406.01,1396.07,555755085
05/04/2017,1394.11,1394.86,1409.90,1409.90,1393.09,559249004
04/04/2017,1394.65,1396.00,1394.11,1400.37,1390.31,553861290
03/04/2017,1396.01,1398.20,1394.65,1400.43,1393.49,552914782
02/04/2017,1397.38,1388.74,1396.01,1397.15,1388.74,552346095
30/03/2017,1400.48,1389.99,1397.38,1397.38,1389.99,557321464
29/03/2017,1401.00,1404.15,1400.48,1405.76,1397.25,559676558
28/03/2017,1395.09,1403.05,1401.00,1406.17,1397.25,560412657
27/03/2017,1401.54,1393.57,1395.09,1397.04,1389.39,556670071
26/03/2017,1415.99,1407.83,1401.54,1410.38,1399.93,559728964
23/03/2017,1416.01,1409.65,1415.99,1417.90,1409.65,566556751
22/03/2017,1411.84,1403.66,1416.01,1416.63,1402.66,565528016
21/03/2017,1423.59,1424.77,1411.84,1429.70,1411.52,564460708
20/03/2017,1417.36,1419.64,1423.59,1426.57,1415.80,569726556
19/03/2017,1426.86,1423.57,1417.36,1426.00,1415.53,567917672
16/03/2017,1438.12,1449.71,1426.86,1449.71,1424.29,571339515
15/03/2017,1435.09,1436.20,1438.12,1439.72,1434.49,576946037
14/03/2017,1440.11,1441.50,1435.09,1442.01,1431.76,574163269
13/03/2017,1439.21,1439.61,1440.11,1442.30,1437.13,575682810
09/03/2017,1438.81,1433.60,1439.21,1441.30,1433.60,576365963
08/03/2017,1429.97,1431.39,1438.81,1440.38,1430.50,576290577
