,date,value
1055,2013-02-04,1219.86892253
1054,2013-02-05,1228.63554335
1053,2013-02-06,1235.03129668
1052,2013-02-07,1244.29613146
1051,2013-02-10,1243.64912322
1050,2013-02-11,1249.10355533
1049,2013-02-12,1258.66259156
1048,2013-02-13,1256.24461435
1047,2013-02-14,1251.12922608
1046,2013-02-17,1255.24571761
1045,2013-02-18,1249.02132816
1044,2013-02-19,1253.90579374
1043,2013-02-20,1270.86787586
1042,2013-02-21,1249.93197771
1041,2013-02-25,1249.92579051
1040,2013-02-26,1243.74946431
1039,2013-02-27,1244.06512589
1038,2013-02-28,1256.09858493
1037,2013-03-03,1248.4973861
1036,2013-03-04,1251.61487078
1035,2013-03-05,1260.9513243
1034,2013-03-06,1262.3605328
1033,2013-03-07,1253.89408484
1032,2013-03-10,1264.15365376
1031,2013-03-11,1263.73380221
1030,2013-03-12,1262.90652779
1029,2013-03-13,1262.09148454
1028,2013-03-14,1269.0098555
1027,2013-03-17,1266.48283597
1026,2013-03-18,1275.18917536
1025,2013-03-19,1285.34540861
1024,2013-03-20,1286.18397535
1023,2013-03-21,1276.59358208
1022,2013-03-24,1289.60160179
1021,2013-03-27,1291.63858214
1020,2013-03-28,1278.11159199
1019,2013-04-02,1282.49524985
1018,2013-04-03,1280.49858156
1017,2013-04-04,1267.68172407
1016,2013-04-07,1263.39597819
1015,2013-04-08,1267.73404193
1014,2013-04-09,1266.40697817
1013,2013-04-10,1268.45906636
1012,2013-04-11,1263.60172516
1011,2013-04-14,1261.94503485
1010,2013-04-17,1253.64647379
1009,2013-04-18,1237.01993177
1008,2013-04-21,1232.23922049
1007,2013-04-22,1232.89403919
1006,2013-04-23,1243.85902091
1005,2013-04-24,1249.72158464
1004,2013-04-25,1244.04029519
1003,2013-04-28,1236.20339771
1002,2013-04-29,1240.1345517
1001,2013-04-30,1249.16530052
1000,2013-05-01,1247.81941131
999,2013-05-02,1251.93208332
998,2013-05-05,1252.74043074
997,2013-05-06,1260.51329346
996,2013-05-07,1268.47983102
995,2013-05-08,1269.81952898
994,2013-05-09,1249.80251781
993,2013-05-12,1230.79135873
992,2013-05-13,1244.67476712
991,2013-05-16,1249.97560358
990,2013-05-19,1258.49879402
989,2013-05-20,1270.49443386
988,2013-05-21,1273.42503785
987,2013-05-22,1275.34881826
986,2013-05-23,1257.09372482
985,2013-05-26,1267.62312173
984,2013-05-27,1270.94290203
983,2013-05-28,1295.00810191
982,2013-05-29,1286.70982506
981,2013-05-30,1284.95650854
980,2013-06-02,1286.02026925
979,2013-06-03,1294.29859039
978,2013-06-04,1300.88150165
977,2013-06-05,1294.64561455
976,2013-06-06,1294.81020777
975,2013-06-09,1298.3264716
974,2013-06-10,1303.23929924
973,2013-06-11,1289.64245174
972,2013-06-12,1287.36492236
971,2013-06-13,1283.35707805
970,2013-06-16,1286.83516117
969,2013-06-17,1290.04327417
968,2013-06-18,1289.67470677
967,2013-06-19,1282.09675222
