,date,value
1055,2013-02-04,1202.93793191
1054,2013-02-05,1212.67853252
1053,2013-02-06,1220.36447673
1052,2013-02-07,1228.02753837
1051,2013-02-10,1227.14708353
1050,2013-02-11,1231.63662357
1049,2013-02-12,1240.00332097
1048,2013-02-13,1238.63297993
1047,2013-02-14,1233.96683369
1046,2013-02-17,1237.4249452
1045,2013-02-18,1231.78328469
1044,2013-02-19,1237.33796896
1043,2013-02-20,1249.94389989
1042,2013-02-21,1230.19527043
1041,2013-02-25,1228.10552197
1040,2013-02-26,1223.47957498
1039,2013-02-27,1224.22020611
1038,2013-02-28,1235.90612291
1037,2013-03-03,1230.3228287
1036,2013-03-04,1232.42845736
1035,2013-03-05,1241.77209246
1034,2013-03-06,1242.86601824
1033,2013-03-07,1235.05156098
1032,2013-03-10,1242.19148245
1031,2013-03-11,1239.96060934
1030,2013-03-12,1238.76579531
1029,2013-03-13,1237.790091
1028,2013-03-14,1244.67178302
1027,2013-03-17,1243.24648372
1026,2013-03-18,1251.11430666
1025,2013-03-19,1259.44387489
1024,2013-03-20,1259.7046366
1023,2013-03-21,1250.40783405
1022,2013-03-24,1261.0033824
1021,2013-03-27,1263.14604715
1020,2013-03-28,1250.34710349
1019,2013-04-02,1251.06482455
1018,2013-04-03,1248.7220096
1017,2013-04-04,1236.6502455
1016,2013-04-07,1232.09101814
1015,2013-04-08,1235.12586821
1014,2013-04-09,1233.99775386
1013,2013-04-10,1236.34964556
1012,2013-04-11,1232.21463892
1011,2013-04-14,1230.896367
1010,2013-04-17,1220.68478487
1009,2013-04-18,1204.51245192
1008,2013-04-21,1198.78466359
1007,2013-04-22,1200.7948606
1006,2013-04-23,1212.24899216
1005,2013-04-24,1218.50943799
1004,2013-04-25,1213.2429679
1003,2013-04-28,1206.08016275
1002,2013-04-29,1211.22281077
1001,2013-04-30,1220.98205702
1000,2013-05-01,1221.63725049
999,2013-05-02,1226.19209085
998,2013-05-05,1227.84621153
997,2013-05-06,1233.6488404
996,2013-05-07,1239.62625208
995,2013-05-08,1242.02410093
994,2013-05-09,1225.08189757
993,2013-05-12,1206.79633947
992,2013-05-13,1218.70226068
991,2013-05-16,1222.75025681
990,2013-05-19,1229.63700713
989,2013-05-20,1241.82168387
988,2013-05-21,1243.52711682
987,2013-05-22,1245.12229786
986,2013-05-23,1227.34986144
985,2013-05-26,1234.9315285
984,2013-05-27,1236.19215461
983,2013-05-28,1258.0663281
982,2013-05-29,1249.37309189
981,2013-05-30,1249.06408066
980,2013-06-02,1249.92887577
979,2013-06-03,1256.86535268
978,2013-06-04,1262.31089582
977,2013-06-05,1256.94980095
976,2013-06-06,1256.1565946
975,2013-06-09,1259.29878865
974,2013-06-10,1263.66997849
973,2013-06-11,1252.56691371
972,2013-06-12,1250.5808349
971,2013-06-13,1247.12277765
970,2013-06-16,1250.2523768
969,2013-06-17,1253.73198471
968,2013-06-18,1253.76755266
967,2013-06-19,1246.77380879
966,2013-06-20,1231.62466008
965,2013-06-23,1225.03075769
964,2013-06-24,1204.55116839
963,2013-06-25,1204.35076324
962,2013-06-26,1204.90716238
961,2013-06-27,1201.62798255
960,2013-06-30,1205.64888681
959,2013-07-01,1210.52766876
958,2013-07-02,1211.59821365
957,2013-07-03,1204.21173059
956,2013-07-04,1209.36605942
955,2013-07-07,1216.08583888
954,2013-07-08,1219.36843935
953,2013-07-09,1218.24277186
952,2013-07-10,1219.82512049
951,2013-07-11,1225.78043377
950,2013-07-14,1233.32460313
949,2013-07-15,1236.39113023
948,2013-07-17,1242.5781147
947,2013-07-18,1242.75034079
946,2013-07-21,1241.34062519
945,2013-07-22,1243.79787658
944,2013-07-23,1241.09985591
943,2013-07-24,1246.83190204
942,2013-07-25,1242.96808028
941,2013-07-28,1242.98279518
940,2013-07-29,1246.35211052
939,2013-07-30,1228.49293536
938,2013-07-31,1231.91644212
937,2013-08-01,1236.89361944
936,2013-08-04,1235.57396466
935,2013-08-05,1231.80758277
934,2013-08-06,1231.59389882
933,2013-08-07,1232.20716489
932,2013-08-08,1235.49426852
931,2013-08-11,1237.5420807
930,2013-08-12,1240.23526673
929,2013-08-13,1247.26405515
928,2013-08-14,1244.61886007
927,2013-08-15,1236.52967623
926,2013-08-18,1239.595429
925,2013-08-19,1241.19258221
924,2013-08-20,1241.80185492
923,2013-08-21,1237.12787009
922,2013-08-22,1236.17158943
921,2013-08-25,1233.83189911
920,2013-08-26,1218.58442509
919,2013-08-27,1185.74938216
918,2013-08-28,1194.96340558
917,2013-08-29,1207.17275656
916,2013-09-01,1220.69493666
915,2013-09-02,1227.19906554
914,2013-09-03,1219.79589775
