,date,value
924,2013-08-20,
923,2013-08-21,
922,2013-08-22,
921,2013-08-25,
920,2013-08-26,
919,2013-08-27,
918,2013-08-28,
917,2013-08-29,
916,2013-09-01,
915,2013-09-02,
914,2013-09-03,
913,2013-09-08,
912,2013-09-09,
911,2013-09-10,
910,2013-09-11,
909,2013-09-12,
908,2013-09-15,
907,2013-09-16,
906,2013-09-17,
905,2013-09-22,
904,2013-09-23,
903,2013-09-24,
902,2013-09-29,
901,2013-09-30,
900,2013-10-01,
899,2013-10-02,
898,2013-10-03,
897,2013-10-06,
896,2013-10-07,
895,2013-10-08,
894,2013-10-09,
893,2013-10-10,
892,2013-10-13,
891,2013-10-14,
890,2013-10-15,
889,2013-10-16,
888,2013-10-17,
887,2013-10-20,
886,2013-10-21,
885,2013-10-22,
884,2013-10-23,
883,2013-10-24,
882,2013-10-27,
881,2013-10-28,
880,2013-10-29,
879,2013-10-30,
878,2013-10-31,
877,2013-11-03,
876,2013-11-04,
875,2013-11-05,
874,2013-11-06,
873,2013-11-07,
872,2013-11-10,
871,2013-11-11,
870,2013-11-12,
869,2013-11-13,
868,2013-11-14,
867,2013-11-17,
866,2013-11-18,
865,2013-11-19,
864,2013-11-20,
863,2013-11-21,
862,2013-11-24,
861,2013-11-25,
860,2013-11-26,
859,2013-11-27,
858,2013-11-28,
857,2013-12-01,
856,2013-12-02,
855,2013-12-03,
854,2013-12-04,
853,2013-12-05,
852,2013-12-08,
851,2013-12-09,
850,2013-12-10,
849,2013-12-11,
848,2013-12-12,
847,2013-12-15,
846,2013-12-16,
845,2013-12-17,
844,2013-12-18,
843,2013-12-19,
842,2013-12-22,
841,2013-12-23,
840,2013-12-24,
839,2013-12-25,
838,2013-12-26,
837,2013-12-29,
836,2013-12-30,
835,2013-12-31,
834,2014-01-01,
833,2014-01-02,
832,2014-01-05,
831,2014-01-06,
830,2014-01-07,
829,2014-01-08,
828,2014-01-09,
827,2014-01-12,
826,2014-01-13,
825,2014-01-14,
824,2014-01-15,
823,2014-01-16,
822,2014-01-19,
821,2014-01-20,
820,2014-01-21,
819,2014-01-22,
818,2014-01-23,
817,2014-01-26,
816,2014-01-27,
815,2014-01-28,
814,2014-01-29,
813,2014-01-30,
812,2014-02-02,
811,2014-02-03,
810,2014-02-04,
809,2014-02-05,
808,2014-02-06,
807,2014-02-09,
806,2014-02-10,
805,2014-02-11,
804,2014-02-12,
803,2014-02-13,
802,2014-02-16,
801,2014-02-17,
800,2014-02-18,
799,2014-02-19,
798,2014-02-20,
797,2014-02-23,
796,2014-02-24,
795,2014-02-25,
794,2014-02-26,
793,2014-02-27,
792,2014-03-02,
791,2014-03-03,
790,2014-03-04,
789,2014-03-05,
788,2014-03-06,
