,date,value
1054,2013-02-05,1103.46291122
1053,2013-02-06,1106.35173218
1052,2013-02-07,1108.85032358
1051,2013-02-10,1117.56108335
1050,2013-02-11,1122.497741
1049,2013-02-12,1127.5669944
1048,2013-02-13,1128.71122781
1047,2013-02-14,1123.53327974
1046,2013-02-17,1123.69790956
1045,2013-02-18,1116.47039037
1044,2013-02-19,1121.17053301
1043,2013-02-20,1134.63256005
1042,2013-02-21,1119.20063719
1041,2013-02-25,1121.82438968
1040,2013-02-26,1113.4327981
1039,2013-02-27,1112.75379923
1038,2013-02-28,1117.57420922
1037,2013-03-03,1109.18150038
1036,2013-03-04,1113.13114853
1035,2013-03-05,1123.37050138
1034,2013-03-06,1129.99173446
1033,2013-03-07,1134.55434879
1032,2013-03-10,1139.74376849
1031,2013-03-11,1140.71672997
1030,2013-03-12,1142.87969507
1029,2013-03-13,1144.36567853
1028,2013-03-14,1153.63118308
1027,2013-03-17,1148.64943097
1026,2013-03-18,1150.13122326
1025,2013-03-19,1156.20439199
1024,2013-03-20,1152.40288735
1023,2013-03-21,1148.42983392
1022,2013-03-24,1155.34795988
1021,2013-03-27,1152.80584114
1020,2013-03-28,1140.18848412
1019,2013-04-02,1143.64562748
1018,2013-04-03,1144.12137851
1017,2013-04-04,1138.83435452
1016,2013-04-07,1135.07626196
1015,2013-04-08,1138.01709803
1014,2013-04-09,1134.19730957
1013,2013-04-10,1133.05161427
1012,2013-04-11,1130.87608178
1011,2013-04-14,1128.3610991
1010,2013-04-17,1123.00108346
1009,2013-04-18,1114.71008014
1008,2013-04-21,1111.23183586
1007,2013-04-22,1112.64706714
1006,2013-04-23,1117.04974371
1005,2013-04-24,1118.56112636
1004,2013-04-25,1116.89981136
1003,2013-04-28,1110.44453929
1002,2013-04-29,1112.27384713
1001,2013-04-30,709.750616606
1000,2013-05-01,703.938025533
999,2013-05-02,705.06057606
998,2013-05-05,705.779533471
997,2013-05-06,710.576276758
996,2013-05-07,713.847556202
995,2013-05-08,714.026740314
994,2013-05-09,706.277226639
993,2013-05-12,698.576584931
992,2013-05-13,704.508669665
991,2013-05-16,714.5841945
990,2013-05-19,720.939728076
989,2013-05-20,727.677157925
988,2013-05-21,728.056448087
987,2013-05-22,729.366618861
986,2013-05-23,717.542556502
985,2013-05-26,723.181484749
984,2013-05-27,723.818029842
983,2013-05-28,736.643404271
982,2013-05-29,729.546954752
981,2013-05-30,726.1393447
980,2013-06-02,726.746822387
979,2013-06-03,731.635073095
978,2013-06-04,734.77699462
977,2013-06-05,730.223328821
976,2013-06-06,728.151337875
975,2013-06-09,733.350544287
974,2013-06-10,737.354438529
973,2013-06-11,732.323794153
972,2013-06-12,729.598289477
971,2013-06-13,722.750232799
970,2013-06-16,724.51627777
969,2013-06-17,725.212400465
968,2013-06-18,726.071567729
967,2013-06-19,723.287343924
966,2013-06-20,716.727314276
965,2013-06-23,714.668305819
964,2013-06-24,704.099029411
963,2013-06-25,701.162165533
962,2013-06-26,702.309763852
961,2013-06-27,701.396298044
960,2013-06-30,704.443819238
959,2013-07-01,706.054702192
958,2013-07-02,708.870928494
957,2013-07-03,701.981654541
956,2013-07-04,705.100339012
955,2013-07-07,707.754953048
954,2013-07-08,709.915861693
953,2013-07-09,709.015573069
952,2013-07-10,708.381374986
951,2013-07-11,709.626104903
950,2013-07-14,714.926341089
949,2013-07-15,717.126934803
948,2013-07-17,718.82516325
947,2013-07-18,721.790176621
946,2013-07-21,720.058501998
945,2013-07-22,722.419859956
944,2013-07-23,726.157513322
943,2013-07-24,730.378935197
942,2013-07-25,723.807327789
941,2013-07-28,718.790453182
940,2013-07-29,719.471947404
939,2013-07-30,700.017234975
938,2013-07-31,701.659896623
937,2013-08-01,700.484106977
936,2013-08-04,698.507969997
935,2013-08-05,695.010310722
934,2013-08-06,692.495025411
933,2013-08-07,694.888962469
932,2013-08-08,697.731792422
931,2013-08-11,704.72593873
930,2013-08-12,704.217917642
929,2013-08-13,707.553190902
928,2013-08-14,707.699948638
927,2013-08-15,703.641651384
926,2013-08-18,706.025699595
925,2013-08-19,708.629877305
924,2013-08-20,704.856504405
923,2013-08-21,698.345007226
922,2013-08-22,695.82563301
921,2013-08-25,694.269776469
920,2013-08-26,690.138267681
919,2013-08-27,679.078390342
918,2013-08-28,683.495152045
917,2013-08-29,687.19416462
916,2013-09-01,694.689689671
915,2013-09-02,698.597544712
914,2013-09-03,695.906034798
913,2013-09-08,686.180370179
912,2013-09-09,692.312593579
911,2013-09-10,699.110458139
910,2013-09-11,701.057565366
909,2013-09-12,699.70544094
908,2013-09-15,712.010293935
907,2013-09-16,713.90052348
906,2013-09-17,714.848952411
905,2013-09-22,716.875637532
904,2013-09-23,722.560411391
903,2013-09-24,723.1810039
902,2013-09-29,731.351070754
901,2013-09-30,725.285399684
900,2013-10-01,729.813696392
899,2013-10-02,729.737635016
898,2013-10-03,729.946267211
897,2013-10-06,739.246246822
896,2013-10-07,740.670704725
895,2013-10-08,743.249547544
894,2013-10-09,746.089593544
893,2013-10-10,753.199698948
892,2013-10-13,751.167094244
891,2013-10-14,756.011132086
890,2013-10-15,755.714888943
889,2013-10-16,756.84820949
888,2013-10-17,753.135506424
887,2013-10-20,754.568664379
886,2013-10-21,756.841718469
885,2013-10-22,756.934560642
884,2013-10-23,749.428474671
883,2013-10-24,747.538946169
882,2013-10-27,755.421697002
881,2013-10-28,750.19262724
880,2013-10-29,751.930296209
879,2013-10-30,736.512694646
878,2013-10-31,732.672995011
877,2013-11-03,732.34156658
876,2013-11-04,736.763876077
875,2013-11-05,736.290025067
874,2013-11-06,738.082553316
873,2013-11-07,743.38494179
872,2013-11-10,742.405090436
871,2013-11-11,743.313474663
870,2013-11-12,743.070734499
869,2013-11-13,742.780389642
868,2013-11-14,747.391322286
867,2013-11-17,750.86525812
866,2013-11-18,754.04586774
865,2013-11-19,757.187915544
864,2013-11-20,769.892906126
863,2013-11-21,769.074058455
862,2013-11-24,773.178256749
861,2013-11-25,772.464721128
860,2013-11-26,768.361715125
859,2013-11-27,771.014308606
858,2013-11-28,771.877224547
857,2013-12-01,783.728606511
856,2013-12-02,780.68333343
855,2013-12-03,776.420759133
854,2013-12-04,773.997373684
853,2013-12-05,774.262364504
852,2013-12-08,775.390342167
851,2013-12-09,772.233583095
850,2013-12-10,774.02789949
849,2013-12-11,768.630527457
848,2013-12-12,757.114172092
847,2013-12-15,749.639260377
846,2013-12-16,757.903211765
845,2013-12-17,752.785744565
844,2013-12-18,754.527632343
843,2013-12-19,753.557998469
842,2013-12-22,762.215988789
841,2013-12-23,764.591637008
840,2013-12-24,759.758159858
839,2013-12-25,762.495956054
838,2013-12-26,760.474221071
837,2013-12-29,752.921151548
836,2013-12-30,754.647969215
835,2013-12-31,758.899424912
834,2014-01-01,765.249204732
833,2014-01-02,758.355033781
832,2014-01-05,756.583107999
831,2014-01-06,756.46124874
830,2014-01-07,761.499882004
829,2014-01-08,764.254860422
828,2014-01-09,763.666154309
827,2014-01-12,765.796912285
826,2014-01-13,773.233530366
825,2014-01-14,769.609790293
824,2014-01-15,790.741803338
823,2014-01-16,789.840507012
822,2014-01-19,788.019443161
821,2014-01-20,782.298720253
820,2014-01-21,788.038213033
819,2014-01-22,785.706607362
818,2014-01-23,777.558650173
817,2014-01-26,762.39785753
816,2014-01-27,767.099962448
815,2014-01-28,773.50868622
814,2014-01-29,773.021059976
813,2014-01-30,768.250961322
812,2014-02-02,768.697354056
811,2014-02-03,765.840857579
810,2014-02-04,768.22950516
809,2014-02-05,768.898243984
808,2014-02-06,775.152217655
807,2014-02-09,771.464187418
806,2014-02-10,766.684551297
805,2014-02-11,765.457061567
804,2014-02-12,767.709934364
803,2014-02-13,767.353325888
802,2014-02-16,770.80903234
801,2014-02-17,774.620789253
800,2014-02-18,780.093274026
799,2014-02-19,785.957499911
798,2014-02-20,792.061434662
797,2014-02-23,792.247747177
796,2014-02-24,799.621067542
795,2014-02-25,804.235209903
794,2014-02-26,812.303290401
793,2014-02-27,809.814654712
792,2014-03-02,813.582143998
791,2014-03-03,811.007301665
790,2014-03-04,818.888874786
789,2014-03-05,822.974302708
788,2014-03-06,827.634244687
787,2014-03-09,819.66609083
786,2014-03-10,821.889572728
785,2014-03-11,824.556203656
784,2014-03-12,820.117774366
783,2014-03-13,820.271728234
782,2014-03-17,825.798628427
781,2014-03-18,829.332071295
780,2014-03-19,834.937486758
779,2014-03-20,832.369918626
778,2014-03-23,830.810164418
777,2014-03-24,821.909409958
776,2014-03-25,828.564451363
775,2014-03-26,833.0772352
774,2014-03-27,827.036337302
773,2014-03-30,828.827915864
772,2014-03-31,839.114817201
771,2014-04-01,847.80851321
770,2014-04-02,855.2725638
769,2014-04-03,851.976903469
768,2014-04-06,850.097216049
767,2014-04-07,853.088188551
766,2014-04-08,831.670634381
765,2014-04-09,840.932507499
764,2014-04-10,842.345596774
763,2014-04-13,823.533760008
762,2014-04-16,825.04392494
761,2014-04-17,820.608495391
760,2014-04-22,840.242534448
759,2014-04-23,830.630614922
758,2014-04-24,824.413555484
757,2014-04-27,814.245867321
756,2014-04-28,819.041783529
755,2014-04-29,815.03361387
754,2014-04-30,814.855711924
753,2014-05-01,814.770928359
752,2014-05-04,809.465814562
751,2014-05-07,798.475659808
750,2014-05-08,807.812769897
749,2014-05-11,801.429893706
748,2014-05-12,805.846693868
747,2014-05-13,814.817834874
746,2014-05-14,814.970985296
745,2014-05-15,809.714669943
744,2014-05-18,812.800362165
743,2014-05-19,813.664576309
742,2014-05-20,814.734000748
741,2014-05-21,817.822208639
740,2014-05-22,821.011831975
739,2014-05-25,831.457947061
738,2014-05-26,831.141563083
737,2014-05-27,830.691531974
736,2014-05-28,827.576275979
735,2014-05-29,821.589547553
734,2014-06-01,825.849723384
733,2014-06-02,825.894689238
732,2014-06-05,824.226556729
731,2014-06-08,835.716902533
730,2014-06-09,833.791102449
729,2014-06-10,833.21131691
728,2014-06-11,833.227983899
727,2014-06-12,831.288806688
726,2014-06-15,828.649689893
725,2014-06-16,829.783817241
724,2014-06-17,830.115657128
723,2014-06-18,832.952578876
722,2014-06-19,839.496948633
721,2014-06-22,839.418635116
720,2014-06-23,837.96526414
719,2014-06-24,833.323624967
718,2014-06-25,827.570064073
717,2014-06-26,826.404646369
716,2014-06-29,829.144798734
715,2014-06-30,830.49194671
714,2014-07-01,827.405515802
713,2014-07-02,832.230066651
712,2014-07-03,835.38672155
711,2014-07-06,837.550207409
710,2014-07-07,831.584999103
709,2014-07-08,819.639066229
708,2014-07-09,824.574497875
707,2014-07-10,821.652461228
706,2014-07-13,833.741944067
705,2014-07-14,836.379169777
704,2014-07-15,840.228559807
703,2014-07-16,840.818798528
702,2014-07-17,835.639254402
701,2014-07-20,834.617052075
700,2014-07-21,834.51152979
699,2014-07-22,839.424607579
698,2014-07-23,839.019086077
697,2014-07-24,840.381867084
696,2014-07-27,838.378320273
695,2014-07-28,837.102035322
694,2014-07-29,839.443012945
693,2014-07-30,841.482384239
692,2014-07-31,833.160822289
691,2014-08-03,835.066940859
690,2014-08-04,832.158893937
689,2014-08-06,822.145705718
688,2014-08-07,819.990158825
687,2014-08-10,812.714313284
686,2014-08-11,814.806706907
685,2014-08-12,815.76079224
684,2014-08-13,813.723828389
683,2014-08-14,817.483499332
682,2014-08-17,820.245425385
681,2014-08-18,821.138939503
680,2014-08-19,825.335683648
679,2014-08-20,826.288237794
678,2014-08-21,832.479423603
677,2014-08-24,825.187604461
676,2014-08-25,832.472239566
675,2014-08-26,830.139361394
674,2014-08-27,840.351335118
673,2014-08-28,836.576397475
672,2014-08-31,836.517233216
671,2014-09-01,841.039062515
670,2014-09-02,845.235175303
669,2014-09-03,844.889654577
668,2014-09-04,847.055818131
667,2014-09-07,849.105197938
666,2014-09-08,844.934896231
665,2014-09-09,844.309524228
664,2014-09-10,840.097261205
663,2014-09-11,843.544678097
662,2014-09-14,845.466493907
661,2014-09-15,843.686315952
660,2014-09-16,849.517905271
659,2014-09-17,854.066386754
658,2014-09-18,859.251046233
657,2014-09-21,862.421717199
656,2014-09-22,861.741243697
655,2014-09-23,860.650340981
654,2014-09-28,871.127044718
653,2014-09-29,873.616731829
652,2014-09-30,872.86037442
651,2014-10-01,868.179000411
650,2014-10-02,873.69612014
649,2014-10-05,884.870142887
648,2014-10-06,880.390589544
647,2014-10-07,880.028069141
646,2014-10-12,860.62825934
645,2014-10-13,866.126881786
644,2014-10-14,850.106856279
643,2014-10-19,854.334022391
642,2014-10-20,861.242076255
641,2014-10-21,864.580628655
640,2014-10-22,873.708895277
639,2014-10-23,878.810232627
638,2014-10-26,877.417614541
637,2014-10-27,877.304771956
636,2014-10-28,879.550039419
635,2014-10-29,875.969638333
634,2014-10-30,880.62203314
633,2014-11-02,889.903879278
632,2014-11-03,897.261971099
631,2014-11-04,897.322579557
630,2014-11-05,903.734475023
629,2014-11-06,902.338136774
628,2014-11-09,900.909626979
627,2014-11-10,901.038538017
626,2014-11-11,901.179239529
625,2014-11-12,900.745958445
624,2014-11-13,902.609076819
623,2014-11-16,895.573344409
622,2014-11-17,901.94894797
621,2014-11-18,905.146563361
620,2014-11-19,905.882756982
619,2014-11-20,903.612925557
618,2014-11-23,900.449057232
617,2014-11-24,895.935567886
616,2014-11-25,894.742849013
615,2014-11-26,907.449864901
614,2014-11-27,912.593926028
613,2014-11-30,913.26334049
612,2014-12-01,911.64671128
611,2014-12-02,913.872666182
610,2014-12-03,920.592866751
609,2014-12-04,923.088059099
608,2014-12-07,926.551877982
607,2014-12-08,922.943976297
606,2014-12-09,911.375922826
605,2014-12-10,913.610342865
604,2014-12-11,916.766365328
603,2014-12-14,900.812780948
602,2014-12-15,905.055483897
601,2014-12-16,901.467464381
600,2014-12-17,899.350083255
599,2014-12-18,916.301002259
598,2014-12-21,929.690080408
597,2014-12-22,920.822923105
596,2014-12-23,914.8941569
595,2014-12-24,912.811472784
594,2014-12-25,910.80610035
593,2014-12-28,912.057937897
592,2014-12-29,908.435737273
591,2014-12-30,901.806805013
590,2014-12-31,908.24107089
589,2015-01-01,907.815388966
588,2015-01-04,905.742747208
587,2015-01-05,903.388560694
586,2015-01-06,903.191480749
585,2015-01-07,913.863572531
584,2015-01-08,925.470968202
583,2015-01-11,916.669036039
582,2015-01-12,917.968479729
581,2015-01-13,926.499804745
580,2015-01-14,912.671653908
579,2015-01-15,915.361160032
578,2015-01-18,918.800753416
577,2015-01-19,914.547879428
576,2015-01-20,921.390152546
575,2015-01-21,919.395424468
574,2015-01-22,919.021840293
573,2015-01-25,928.285946987
572,2015-01-26,929.435767256
571,2015-01-27,922.363666195
570,2015-01-28,921.367088836
569,2015-01-29,907.267235244
568,2015-02-01,906.299818317
567,2015-02-02,906.983307632
566,2015-02-03,908.745831326
565,2015-02-04,908.355219818
564,2015-02-05,913.365640866
563,2015-02-08,917.288719193
562,2015-02-09,910.100544873
561,2015-02-10,908.10331516
560,2015-02-11,908.974459839
559,2015-02-12,907.932701494
558,2015-02-15,909.220015199
557,2015-02-16,910.920822445
556,2015-02-17,912.878508515
555,2015-02-18,912.769683616
554,2015-02-19,912.551061767
553,2015-02-22,917.233287063
552,2015-02-23,927.39069039
551,2015-02-24,931.994108832
550,2015-02-25,930.843244946
549,2015-02-26,938.194318757
548,2015-03-01,948.029223683
547,2015-03-02,947.608525991
546,2015-03-03,941.105945526
545,2015-03-04,943.32066257
544,2015-03-08,952.068255944
543,2015-03-09,953.162474774
542,2015-03-10,952.44639249
541,2015-03-11,967.13048723
540,2015-03-12,979.025465193
539,2015-03-15,977.201247717
538,2015-03-16,983.742462092
537,2015-03-18,995.05250936
536,2015-03-19,1006.43053384
535,2015-03-22,1018.86190695
534,2015-03-23,1012.50539214
533,2015-03-24,1001.71652236
532,2015-03-25,1003.9293742
531,2015-03-26,997.021132429
530,2015-03-29,1005.86346818
529,2015-03-30,1006.25851533
528,2015-03-31,1011.51091681
527,2015-04-01,1006.01048388
526,2015-04-02,1016.23465898
525,2015-04-05,1017.04919732
524,2015-04-06,1018.76236106
523,2015-04-07,1036.17919529
522,2015-04-08,1028.92631295
521,2015-04-12,1069.38813817
520,2015-04-13,1076.83501389
519,2015-04-14,1067.16254731
518,2015-04-15,1073.26772409
517,2015-04-16,1070.70528284
516,2015-04-19,1042.01862031
515,2015-04-20,1047.80133914
514,2015-04-21,1056.20266627
513,2015-04-26,1051.00800802
512,2015-04-27,1040.56115463
511,2015-04-28,1011.91048967
510,2015-04-29,1011.43406485
509,2015-04-30,1006.30788364
508,2015-05-03,1012.21118243
507,2015-05-04,1015.95101941
506,2015-05-05,1007.18532516
505,2015-05-06,1002.30312975
504,2015-05-07,999.136922156
503,2015-05-10,1011.39450753
502,2015-05-11,1013.56490661
501,2015-05-12,1007.49524465
500,2015-05-13,1012.52361338
499,2015-05-14,1013.29469222
498,2015-05-17,1010.37192535
497,2015-05-18,1024.20102609
496,2015-05-19,1039.84453991
495,2015-05-20,1037.14514844
494,2015-05-21,1046.87644527
493,2015-05-25,1042.1346498
492,2015-05-26,1032.72974809
491,2015-05-27,1028.73362976
490,2015-05-28,1025.04042012
489,2015-05-31,1023.65880127
488,2015-06-01,1026.81027598
487,2015-06-02,1022.02357408
486,2015-06-03,1027.47727619
485,2015-06-04,1029.14909057
484,2015-06-07,1027.59291782
483,2015-06-08,1025.10921502
482,2015-06-09,1012.68385641
481,2015-06-10,1011.28396185
480,2015-06-11,1017.0756045
479,2015-06-14,1020.02033266
478,2015-06-15,1007.85937162
477,2015-06-16,1011.70799003
476,2015-06-17,1013.56569681
475,2015-06-18,1005.7773259
474,2015-06-21,1015.62732668
473,2015-06-22,1005.54824026
472,2015-06-23,1002.00761102
471,2015-06-24,995.593031969
470,2015-06-25,994.554797699
469,2015-06-28,980.667247919
468,2015-06-29,981.11896115
467,2015-06-30,982.879427371
466,2015-07-01,1002.41635918
465,2015-07-02,999.807225192
464,2015-07-05,994.97943412
463,2015-07-06,996.774978465
462,2015-07-07,994.758481591
461,2015-07-08,987.567893224
460,2015-07-09,995.415630642
459,2015-07-12,993.981464013
458,2015-07-13,1004.29188295
457,2015-07-14,1014.37927503
456,2015-07-15,1015.33501884
455,2015-07-16,1020.91078072
454,2015-07-19,1028.72040738
453,2015-07-20,1030.69390662
452,2015-07-21,1025.44098738
451,2015-07-22,1023.23845878
450,2015-07-23,1023.28579513
449,2015-07-27,1049.26074323
448,2015-07-28,1059.65124424
447,2015-07-29,1067.92441755
446,2015-07-30,1059.60381042
445,2015-08-02,1052.75607117
444,2015-08-03,1052.41361624
443,2015-08-04,1058.28504676
442,2015-08-05,1068.98984272
441,2015-08-06,1062.26975218
440,2015-08-09,1060.36618637
439,2015-08-10,1067.80807461
438,2015-08-11,1060.53398546
437,2015-08-12,1052.38645897
436,2015-08-13,1058.32917299
435,2015-08-16,1056.62829121
434,2015-08-17,1061.42157884
433,2015-08-18,1066.46229805
432,2015-08-19,1064.13614004
431,2015-08-20,1059.81561839
430,2015-08-23,1019.47817516
429,2015-08-24,975.73969475
428,2015-08-25,1000.06848789
427,2015-08-26,994.009511416
426,2015-08-27,1002.01218931
425,2015-08-30,1008.01085473
424,2015-08-31,998.570242727
423,2015-09-01,989.10914644
422,2015-09-02,1002.31399032
421,2015-09-03,1018.33774942
420,2015-09-06,1005.86049598
419,2015-09-07,1002.98479157
418,2015-09-08,1004.8474501
417,2015-09-09,1000.43980166
416,2015-09-10,988.019421165
415,2015-09-16,1002.45015972
414,2015-09-17,1002.42839446
413,2015-09-20,987.399808484
412,2015-09-21,994.560061105
411,2015-09-24,953.662048667
410,2015-09-29,916.901282041
409,2015-09-30,916.414275331
408,2015-10-01,919.650660934
407,2015-10-06,928.374384928
406,2015-10-07,925.042641433
405,2015-10-08,924.973663168
404,2015-10-11,926.665732694
403,2015-10-12,922.649579015
402,2015-10-13,924.155451433
401,2015-10-14,915.60357288
400,2015-10-15,931.29268487
399,2015-10-18,949.289138848
398,2015-10-19,948.627010876
397,2015-10-20,943.603547946
396,2015-10-21,927.121635231
395,2015-10-22,923.260633814
394,2015-10-25,952.882012878
393,2015-10-26,947.026539475
392,2015-10-27,946.005644421
391,2015-10-28,957.955112296
390,2015-10-29,962.728626581
389,2015-11-01,962.298060359
388,2015-11-02,967.496194263
387,2015-11-03,978.755957728
386,2015-11-04,979.204773547
385,2015-11-05,971.210402303
384,2015-11-08,971.730059293
383,2015-11-09,966.59099615
382,2015-11-10,964.85804079
381,2015-11-11,970.695775074
380,2015-11-12,960.773787827
379,2015-11-15,930.90666759
378,2015-11-16,951.361620311
377,2015-11-17,960.590676769
376,2015-11-18,965.14445183
375,2015-11-19,973.139238046
374,2015-11-22,974.274774064
373,2015-11-23,978.671055416
372,2015-11-24,966.663510688
371,2015-11-25,973.779702117
370,2015-11-26,978.238797601
369,2015-11-29,975.685005433
368,2015-11-30,964.30022764
367,2015-12-01,986.999995872
366,2015-12-02,985.282494538
365,2015-12-03,975.825534987
364,2015-12-06,984.312829546
363,2015-12-07,977.576044143
362,2015-12-08,977.425556999
361,2015-12-09,980.938408097
360,2015-12-10,974.212025552
359,2015-12-13,961.44250312
358,2015-12-14,960.808549922
357,2015-12-15,974.366199467
356,2015-12-16,969.28128661
355,2015-12-17,978.213708176
354,2015-12-20,965.694880986
353,2015-12-21,971.911401707
352,2015-12-22,967.909458485
351,2015-12-23,973.545547901
350,2015-12-24,983.369432873
349,2015-12-27,988.069678867
348,2015-12-28,978.823525062
347,2015-12-29,987.105693616
346,2015-12-30,985.575428177
345,2015-12-31,978.189795552
344,2016-01-03,984.318360442
343,2016-01-04,976.725829759
342,2016-01-05,981.263640158
341,2016-01-06,982.848221149
340,2016-01-07,962.347782415
339,2016-01-10,953.070576392
338,2016-01-11,951.251790555
337,2016-01-12,962.215992291
336,2016-01-13,964.058887165
335,2016-01-14,934.245054478
334,2016-01-17,934.98961046
333,2016-01-18,939.453666095
332,2016-01-19,949.475512058
331,2016-01-20,928.601582163
330,2016-01-21,938.373438169
329,2016-01-24,957.145047351
328,2016-01-25,952.38098041
327,2016-01-26,953.173816162
326,2016-01-27,950.087069793
325,2016-01-28,926.988649571
324,2016-01-31,949.839225956
323,2016-02-01,944.641600721
